docname,from,to,pre,keyword,post,pattern
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_2,11,11,All Of The Democrats ’ ‘ October Surprises ’ Against,Trump,Have Fallen Apart,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_8,5,5,All three claims against,Trump,this week have been ripped apart instantly,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_9,23,23,"With less than two weeks until Election Day , Democrats and their media allies have thrown out multiple allegations against former President",Donald,Trump that immediately fell apart under basic scrutiny .,donald
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_9,24,24,"With less than two weeks until Election Day , Democrats and their media allies have thrown out multiple allegations against former President Donald",Trump,that immediately fell apart under basic scrutiny .,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_11,20,20,"The Atlantic article , by the outlet’s editor-in-chief Jeffrey Goldberg , began with a claim from anonymous sources that",Trump,", as president , “ became angry ” when he learned how much a funeral for a murdered soldier would cost . Trump had spoken to the soldier’s family and offered to help pay funeral costs after 20-year-old Vanessa Guillén was killed by a fellow soldier at Fort Hood in",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_11,43,43,"The Atlantic article , by the outlet’s editor-in-chief Jeffrey Goldberg , began with a claim from anonymous sources that Trump , as president , “ became angry ” when he learned how much a funeral for a murdered soldier would cost .",Trump,had spoken to the soldier’s family and offered to help pay funeral costs after 20-year-old Vanessa Guillén was killed by a fellow soldier at Fort Hood in April 2020 .,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_12,23,23,But Goldberg cited anonymous “ attendees ” and “ contemporaneous notes of the meeting taken by a participant ” to claim that,Trump,"was angered when the family sent the White House a funeral bill for $ 60,000 . Trump , according to Goldberg’s anonymous sources , told his staff , “ It doesn’t cost 60,000 bucks to bury a f * * * ing Mexican ! ”",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_12,40,40,"But Goldberg cited anonymous “ attendees ” and “ contemporaneous notes of the meeting taken by a participant ” to claim that Trump was angered when the family sent the White House a funeral bill for $ 60,000 .",Trump,", according to Goldberg’s anonymous sources , told his staff , “ It doesn’t cost 60,000 bucks to bury a f * * * ing Mexican ! ”",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_13,27,27,"People who were in the room have since come out to deny the claim , including Guillén’s sister and the family attorney , as well as",Trump’s,"former chief of staff Mark Meadows . Meadows ’ former spokesman also told The Atlantic that Trump “ absolutely did not say that , ” but Goldberg wrote in his article that the spokesman “ denied having heard Trump make the statement . ”",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_13,44,44,"People who were in the room have since come out to deny the claim , including Guillén’s sister and the family attorney , as well as Trump’s former chief of staff Mark Meadows . Meadows ’ former spokesman also told The Atlantic that",Trump,"“ absolutely did not say that , ” but Goldberg wrote in his article that the spokesman “ denied having heard Trump make the statement . ”",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_13,66,66,"including Guillén’s sister and the family attorney , as well as Trump’s former chief of staff Mark Meadows . Meadows ’ former spokesman also told The Atlantic that Trump “ absolutely did not say that , ” but Goldberg wrote in his article that the spokesman “ denied having heard",Trump,make the statement . ”,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_13,69,69,"and the family attorney , as well as Trump’s former chief of staff Mark Meadows . Meadows ’ former spokesman also told The Atlantic that Trump “ absolutely did not say that , ” but Goldberg wrote in his article that the spokesman “ denied having heard Trump make the",statement,. ”,men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_14,13,13,The story was already hard to believe because anyone willing to disparage,Trump,"would not need to hide behind anonymity to make such a claim . People who disparage Trump are given media positions , book deals , and praised as heroes , so it makes no sense Goldberg would need to provide anonymity to anyone .",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_14,30,30,The story was already hard to believe because anyone willing to disparage Trump would not need to hide behind anonymity to make such a claim . People who disparage,Trump,"are given media positions , book deals , and praised as heroes , so it makes no sense Goldberg would need to provide anonymity to anyone .",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_16,20,20,"The second allegation in Goldberg’s article was from Kelly , who has a history of making wild allegations against",Trump,"without evidence . Kelly alleged that Trump would regularly praise Adolf Hitler’s generals – a claim he made to reporters writing an anti-Trump book in 2022 as well . The timing of Kelly’s alleged recollection of the claims is notable – just two weeks before the election , he suddenly",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_16,27,27,"The second allegation in Goldberg’s article was from Kelly , who has a history of making wild allegations against Trump without evidence . Kelly alleged that",Trump,"would regularly praise Adolf Hitler’s generals – a claim he made to reporters writing an anti-Trump book in 2022 as well . The timing of Kelly’s alleged recollection of the claims is notable – just two weeks before the election , he suddenly remembers conversations with Trump from more than",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_16,43,43,"The second allegation in Goldberg’s article was from Kelly , who has a history of making wild allegations against Trump without evidence . Kelly alleged that Trump would regularly praise Adolf Hitler’s generals – a claim he made to reporters writing an",anti-Trump,"book in 2022 as well . The timing of Kelly’s alleged recollection of the claims is notable – just two weeks before the election , he suddenly remembers conversations with Trump from more than four years earlier .",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_16,74,74,"Kelly alleged that Trump would regularly praise Adolf Hitler’s generals – a claim he made to reporters writing an anti-Trump book in 2022 as well . The timing of Kelly’s alleged recollection of the claims is notable – just two weeks before the election , he suddenly remembers conversations with",Trump,from more than four years earlier .,trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_17,14,14,"Despite the questionable sourcing , the claim allowed the media and Vice President",Kamala,"Harris to rehash their tired “ Trump is Hitler ” accusations , with Harris even calling a press conference to make the claim .",kamala
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_17,15,15,"Despite the questionable sourcing , the claim allowed the media and Vice President Kamala",Harris,"to rehash their tired “ Trump is Hitler ” accusations , with Harris even calling a press conference to make the claim .",harris
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_17,21,21,"Despite the questionable sourcing , the claim allowed the media and Vice President Kamala Harris to rehash their tired “",Trump,"is Hitler ” accusations , with Harris even calling a press conference to make the claim .",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_17,28,28,"Despite the questionable sourcing , the claim allowed the media and Vice President Kamala Harris to rehash their tired “ Trump is Hitler ” accusations , with",Harris,even calling a press conference to make the claim .,harris
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_19,4,4,“ Vice President,Harris,"is a fraud . I was in the White House at a senior level much longer than General Kelly . He is complicit in this fraud and has lied to the American people . His lies , as well as John Bolton’s , are a disservice to [ the ]",harris
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_21,4,4,“ I’ve avoided,commenting,"on intra-staff leaks or rumors or even lies as it relates to my time at the White House but General Kelly’s comments regarding President Trump are too egregious to ignore , ” Ayers said on X . “ I was with each of them more than most , and his",men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_21,26,26,“ I’ve avoided commenting on intra-staff leaks or rumors or even lies as it relates to my time at the White House but General Kelly’s,comments,"regarding President Trump are too egregious to ignore , ” Ayers said on X . “ I was with each of them more than most , and his commentary is * patently false . * ”",men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_21,29,29,“ I’ve avoided commenting on intra-staff leaks or rumors or even lies as it relates to my time at the White House but General Kelly’s comments regarding President,Trump,"are too egregious to ignore , ” Ayers said on X . “ I was with each of them more than most , and his commentary is * patently false . * ”",trump
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_21,55,55,"on intra-staff leaks or rumors or even lies as it relates to my time at the White House but General Kelly’s comments regarding President Trump are too egregious to ignore , ” Ayers said on X . “ I was with each of them more than most , and his",commentary,is * patently false . * ”,men
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_22,10,10,"Finally , former model Stacey Williams alleged during a",Harris,campaign event that Trump had groped her 31 years ago . The timing of her allegation – just two weeks before the election – and the forum in which she made it – a “ Survivors for Harris ” campaign event – call into question the validity of her claim,harris
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt_22,14,14,"Finally , former model Stacey Williams alleged during a Harris campaign event that",Trump,had groped her 31 years ago . The timing of her allegation – just two weeks before the election – and the forum in which she made it – a “ Survivors for Harris ” campaign event – call into question the validity of her claim . Trump has been,trump
