filename,full_sentiment,custom_sentiment,full_words,custom_words
america_is_always_disappointing_her_michelle_obama_trashed_for_racist_last_ditch_kamala_pitch.txt,-51,NA,"disappointing, racist, want, sentences, critics, ignored, top, weak, racism, clear, poor, proud, united, problem, stop, supporters, indifferent, terrible, hope, forgive, frustrated, ignore, gross, incompetence, angry, abuse, courage, refused, no",NA
ben_shapiro_breaks_down_kamala_harris_fox_news_interview_full_scale_disaster.txt,-11,-6,"disaster, awful, contentious, angry, opportunities, wow, great, difficult, better, worst, questioned, illegal, problem, racist, struggled, wrong, support, bad, super, empty, smart, interesting",illegal
biden_harris_admin_altered_transcript_of_bidens_garbage_insult_could_have_broken_law.txt,-11,NA,"insult, broken, fraudulent, violate, supporters, integrity, racist, accused, matter, apologizing, united",NA
biden_harris_admins_illegal_immigration_numbers_are_25_higher_than_reported_study.txt,-23,-39,"illegal, escape, increased, freedom, racist, no, win, increase, won, justice, excuse, allow",illegal
biden_harris_judge_orders_virginia_to_put_non_citizens_back_on_voter_rolls.txt,-16,-8,"illegal, clear, certain, emergency, unacceptable, travesty, accuse, justice, injustice, great, racist, hopefully, crazy, stop","illegal, crazy"
biden_kamala_granting_quiet_amnesty_to_huge_number_of_illegals_report.txt,-21,-12,"granting, huge, effective, exploiting, grant, illegal, justice, increased, granted, racist, excuse, allow, lack, criminals, terror, increase, interest, threat, risk, united, interests, criminal",illegal
biden_on_vacation_kamala_with_beyonce_despite_israels_advance_notice_of_iran_strikes.txt,-19,NA,"strikes, want, fear, launched, no, racist, attacks, invite, harsher, success, excuse, avoid, threatened, firing, bomb",NA
charles_payne_shreds_democrats_kamala_for_erasing_black_men.txt,-12,-6,"insulting, like, reach, save, prominent, supporting, insult, afraid, challenge, racist, damn, shame, opportunities, no, hate, war, tired, denied, help",hate
cnn_commentator_rips_kamala_after_town_hall_a_duck_billed_platitude.txt,-17,NA,"prepared, focused, failure, clear, hating, dodging, blame, bad, racist, like, true, threat, terrible, mistake, weakness, want, empty",NA
cnn_contributor_white_folks_must_vote_for_kamala_to_save_democracy.txt,7,-3,"save, mistake, escape, failed, support, honest, failure, racist, wonderful, like, want, mad, upset, attack, secured, advantage, share, reached, shy",mad
