filename,full_sentiment,custom_sentiment,full_words,custom_words
all_of_the_democrats_october_surprises_against_trump_have_fallen_apart.txt,-70,NA,"fallen, denied, angry, funeral, help, pay, killed, deny, hard, disparage, hide, praised, heroes, no, racist, praise, anti, questionable, tired, accusations, disputed, fraud, lied, avoided, ignore, dubious, notorious, offender, prominent, uncertain, fake, true, want, certain, desperate, clarifies, warn, fearful",NA
ben_shapiro_relays_personal_story_about_crime_to_explain_failed_media_attacks_on_trump.txt,-43,NA,"crime, failed, attacks, bad, care, dump, nice, want, cares, worse, safe, stops, suspect, screams, losing, top, racist, suspects, gun, legally, shoot, criminal, solid, no, arrests, mocked, disparaging, support, criticized, death, big, racism, accuses",NA
betting_market_shows_trump_leading_harris_in_6_swing_states.txt,23,NA,"better, advantage, racist, friendly, struggled, favored, win, popular, chance, winning, convinced",NA
biden_maga_republicans_are_the_kind_of_guys_youd_like_to_smack_in_the_a.txt,-40,-3,"kind, like, hurt, no, convince, help, ass, racist, violence, weak, coward, miserable, joyful, nuts, losing, badly, supporters, joke, kill, outrage, outraged",nuts
cnn_fact_checks_walzs_lie_about_loss_of_jobs_under_trump.txt,-24,NA,"loss, true, lost, exposed, worth, gain, racist, focused, reached, top, blamed, greed, ban",NA
could_be_something_very_wrong_with_her_trump_calls_on_kamala_to_take_cognitive_test.txt,-8,-3,"wrong, lethargic, stamina, attack, hiding, fit, fired, important, protect, dodging, illegal, assassination, excellent, perfect",illegal
dave_portnoy_megyn_kelly_slam_pearl_clutching_about_trump_mcdonalds_visit.txt,2,NA,"slam, like, blind, destroyed, stop, bizarre, agreed, perfect, allow, scandal, failed, clean, losing, likes, cares, pretend, care",NA
days_before_election_media_launches_desperate_anti_trump_hoax.txt,-27,-3,"desperate, anti, hoax, clearly, convinced, hoping, entitled, great, fake, panic, conspiracy, arrested, engage, exploited, united, thanks, top, powerful, like, wealthy, promised, allow, complained, funeral, worth, smear, trusted, convince, war, fallen, opportunity, hate, denied, matters, interests, threatened, loyal, pretending, lunatics, murder, unstable, no, stop, worst, preventing, wins, censor, fight, misinformation, better, praised, resign, problem, hesitant, mistake, chance, fascist, cry, problems, kill, pay, denying, victim, wow, appreciate, exploiting, death, important, legal, lied, racist, worse, dishonest, gun, accusations, accusation, accused, shared, supports, win, strangely, big, fair, highlight, promises, accusing, guilty, prepared, assassination, clarity, exclusive, join, free",hate
defend_our_country_imprisoned_pro_life_activists_urge_americans_to_vote_against_kamala.txt,-70,-5,"imprisoned, sadly, prison, jailed, promised, pardon, prisoners, violating, freedom, charged, blocking, support, supports, peaceful, faith, care, prisoner, victimized, promise, anti, praying, good, stop, interrupted, justice, clear, increased, ensure, murder, frustrated, stronger, grateful, free, lawsuits, enemy, save, notorious, criminals, offender, violent, rescues, illegal, matter, feeling, hopeful, sentence, like, wish, arrested, blessing, battle, evil, death, sincerity, deception, love, god, pray, alone, disgusting, killing, clearly, harmful, defenseless, desire, betrayal, pardoned, hope, encourage, expand, ignored, attacks, leak, protects, critics, prosecution, violence, lack, crazy, heartbreaking, sorry","illegal, crazy"
democrat_man_who_uses_she_her_pronouns_arrested_for_allegedly_threatening_to_kill_trump.txt,-57,-6,"arrested, threatening, kill, hate, like, shoot, alarmed, top, gun, charged, threats, hope, arrest, admitted, denied, assassination, hid, fire, killing, supporter, killed, protect, resigned, failure, clear, strengthened",hate
economic_guru_dave_ramsey_backs_trump_has_strong_message_for_the_haters.txt,11,NA,"backs, strong, haters, leave, cancel, backed, like, gun, agree, clearly, reassured, bother, angry, backing, threatened, hard, racist, endorses, upset, protect, wealth, no, matter, reach, hoping, struggle, agreed, reached, ability, yes, sick, tired, worth",NA
every_21st_century_democratic_presidential_nominee_supports_restricting_free_speech.txt,-22,-4,"supports, restricting, free, no, backed, shared, kind, restriction, misinformation, demanded, stop, promote, allow, protected, support, censor, killing, blamed, loss, propaganda, charged, better, lost, sick, block, fear, banned, certain, like, abuse, endorse, restrict, convince",propaganda
exclusive_seven_undecided_pennsylvania_voters_say_whats_driving_their_decision.txt,28,NA,"exclusive, undecided, like, dislike, dead, shared, winner, agreed, aggressive, kind, focused, stopped, pay, increase, matters, no, matter, impose, growing, debt, wealth, top, scare, want, bothered, big, good, strong, worry, hurt, united, win, worst, stop, trust",NA
